A2M
CAB39L
CABLES1
CACNA1B
CACNA1G
CACNA1I
CACNB2
CACNG4
CADM1
CALCA
CALCRL
CALD1
CAMK2A
CAMK4
CAMKK1
CARD11
CASP1
CASP10
CASP2
CASP4
CASP8
CAT
CAV1
CBS
CCK
CCKBR
CCL2
CCL25
CCL3
CCL3L1
CCL4
CCL5
CCNA1
CCNA2
CCNB1
CCNB2
CCND2
CCND3
CCNE1
CCNO
CCNT1
CCR1
CCR10
CCR6
CCR7
CD14
CD200R1
CD24
CD247
CD274
CD34
CD36
CD3D
CD4
CD40
CD44
CD47
CD48
CD55
CD79B
CD86
CD8B
CD9
CDC20
CDC25B
CDC25C
CDC45
CDC6
CDH1
CDH10
CDH11
CDH12
CDH13
CDH15
CDH18
CDH2
CDH24
CDH3
CDH4
CDH5
CDH6
CDH8
CDH9
CDK1
CDKN1A
CDKN2A
CDKN2C
CDKN2D
CDS1
CEBPD
CENPO
CER1
CERS2
CETN2
CFB
CFD
CFH
CFI
CFTR
CGA
CGN
CHN1
CHN2
CHPF2
CHRM2
CHRM3
CHRNA3
CHRNA6
CHRNA9
CHRNB4
CHRNE
CHRNG
CHST1
CHST11
CHST13
CHST9
CHSY3
CISH
CKB
CKM
CKMT1A
CKS1B
CLDN10
CLDN11
CLDN15
CLDN18
CLDN2
CLDN3
CLDN4
CLDN5
CLDN6
CLDN7
CLDN9
CLP1
CLTCL1
CLU
CNDP2
CNTNAP1
COASY
COL10A1
COL11A2
COL12A1
COL15A1
COL16A1
COL17A1
COL1A1
COL1A2
COL21A1
COL22A1
COL23A1
COL25A1
COL2A1
COL3A1
COL4A1
COL4A3
COL4A4
COL4A6
COL5A2
COL6A1
COL6A2
COL6A3
COL7A1
COL8A2
COPA
COPB2
COX7C
CP
CPE
CPS1
CPT1A
CPT1B
CPT2
CRAT
CRH
CRHR2
CRK
CRMP1
CRY2
CSF2RA
CSGALNACT1
CSPG4
CST3
CTH
CTNNB1
CTNND1
CTRB2
CTSA
CTSB
CTSC
CTSF
CTSG
CTSH
CTSK
CTSS
CUBN
CXCL16
CXCL2
CXCL3
CXCR4
CYB5A
CYP11A1
CYP19A1
CYP1B1
CYP24A1
CYP26A1
CYP26C1
CYP27A1
CYP27B1
CYP2C18
CYP2C8
CYP2D6
CYP2J2
CYP2S1
CYSLTR1
CYSLTR2
DAB2
DAGLA
DAGLB
DAPK2
DBNL
DCC
DCN
DCP1B
DCTN1
DCX
DDC
DDIT3
DDX23
DDX58
DDX6
DEFA6
DEGS2
DGAT2
DGKA
DGKB
DGKG
DGKH
DGKI
DGKK
DGKQ
DHCR24
DHCR7
DHH
DIO1
DIO2
DKC1
DLC1
DLK1
DLL4
DMD
DNAJB11
DNASE2
DNER
DOCK10
DOCK2
DOCK4
DOCK6
DOCK9
DOK1
DOK2
DOLK
DPAGT1
DPP4
DPYD
DPYS
DRD1
DRD2
DRD5
DSCAM
DSCAML1
DSG2
DSP
DTX2
DTX3L
DTX4
DUSP6
DYNC1I1
DYNC2H1
EARS2
EBF1
EBP
EDC3
EDEM2
EDEM3
EDN1
EDN3
EDNRA
EDNRB
EFTUD2
EGF
EGFR
EGR2
EIF2B2
EIF2B4
EIF3B
EIF3C
EIF4EBP1
ELMO1
ELOVL1
ELOVL2
ELOVL3
ENO2
ENO3
ENPP1
ERAP1
ESAM
ESRRG
ETFDH
ETHE1
EXOC8
EXOSC2
EXT1
EXT2
EZR
F10
F12
F13A1
F2
F2R
F2RL1
F2RL2
F5
F7
FABP1
FADS1
FAH
FANCG
FAR2
FARS2
FARSA
FAS
FBN1
FBP1
FBXO6
FBXW4
FBXW5
FBXW7
FBXW8
FCER1G
FEN1
FERMT2
FES
FGA
FGB
FGD3
FGF19
FGF20
FGF23
FGF4
FGF7
FGF8
FGF9
FGFR2
FGFR4
FGG
FGR
FHL2
FIG4
FKBP9
FLNB
FMO1
FMO2
FMOD
FN1
FOS
FOXO4
FRS3
FSHR
FTL
FUT8
FYN
FZD2
FZD5
G0S2
GAB1
GAB2
GABRA2
GABRA3
GABRA4
GABRA5
GABRB1
GABRB2
GABRG3
GABRR1
GAD1
GAL
GALE
GALK1
GALNT10
GALNT13
GALNT14
GALNT5
GALNT9
GALNTL6
GALR2
GALR3
GAMT
GAPDH
GAPDHS
GARS
GATA3
GATA4
GATA5
GATA6
GBA
GBA2
GBE1
GBF1
GBP2
GBP4
GCGR
GCK
GCNT1
GDA
GFAP
GFPT2
GFRA1
GFRA2
GGT1
GGT5
GH1
GH2
GINS2
GJA1
GJA10
GJA4
GJA5
GJB1
GJB2
GJB3
GJB4
GJB5
GJB6
GJB7
GK
GLA
GLB1
GLIPR1
GLP1R
GLRB
GLRX
GLS2
GLUL
GMPPA
GMPPB
GMPR
GMPR2
GNA14
GNA15
GNAI1
GNAI2
GNAS
GNAT1
GNAT2
GNB3
GNG11
GNGT2
GNRH2
GORASP1
GP1BA
GP1BB
GP5
GPAT2
GPBAR1
GPC2
GPC3
GPC4
GPC5
GPD1
GPD1L
GPI
GPR18
GPR39
GPR4
GPR55
GPT2
GRAP
GRB7
GRHL1
GRIA4
GRIK3
GRIK4
GRIK5
GRIN2A
GRIN2D
GRIP2
GRK5
GRM1
GRM2
GRM3
GRM6
GRM7
GRM8
GRP
GRPR
GSN
GSS
GSTA1
GSTA2
GSTA3
GSTM5
GSTO1
GTF2B
GTF2H4
GTF3C2
GTF3C3
GUCY1A2
GUSB
GXYLT2
GYG1
GYG2
GYS2
H2AFZ
HAAO
HARS
HARS2
HAS1
HAS2
HBEGF
HBG2
HCAR2
HCK
HCN1
HCN3
HCN4
HCRTR2
HCST
HDAC11
HDAC3
HDAC6
HDAC7
HDAC9
HDC
HECTD3
HEPH
HERPUD1
HEY1
HEY2
HEYL
HGD
HGF
HIP1R
HIST1H1A
HIST1H1B
HIST1H1D
HIST1H1E
HIST1H2AC
HIST1H2AJ
HIST1H2BG
HIST1H2BO
HIST1H3H
HIST1H4C
HIST2H2AA4
HIST2H2BE
HJURP
HK1
HMGB2
HMGCL
HMGCS1
HMOX1
HNF1A
HNF1B
HNF4A
HNF4G
HNRNPF
HPD
HPSE
HPSE2
HRH1
HS3ST1
HS3ST4
HS3ST5
HS6ST3
HSD17B3
HSD3B7
HSP90AA1
HSP90B1
HSPA1B
HSPA2
HSPA5
HSPA8
HTR1E
HTR1F
HTR3C
HTR4
HTR7
HYAL1
HYAL2
IARS
ICAM1
ICAM2
ICAM4
IDH1
IDH2
IDH3G
IDO1
IFI6
IFIH1
IFIT1
IFIT2
IFIT3
IFITM1
IFITM3
IFNGR1
IGF2
IGFBP1
IGFBP2
IGFBP3
IGFBP4
IGFBP5
IGFBP6
IHH
IKBKE
IL18
IL1A
IL1B
IL1R1
IL1R2
IL3RA
IL5RA
IL6
IL6R
IL6ST
ILK
INCENP
INHA
INHBA
INHBB
INHBC
INHBE
INPP5E
INPP5K
INSL3
IQGAP1
IRAK2
IRAK3
IRF1
IRF4
IRF5
IRF8
IRF9
ISG15
ISG20
ISL1
ITGA1
ITGA10
ITGA11
ITGA2
ITGA2B
ITGA3
ITGA5
ITGA8
ITGAM
ITGB2
ITGB3
ITGB5
ITGB7
ITPR3
IVD
JAK1
JAM3
JUN
JUP
KALRN
KCNA1
KCNA3
KCNA4
KCNA5
KCNAB1
KCNB1
KCNB2
KCND1
KCND2
KCND3
KCNF1
KCNG2
KCNH1
KCNH6
KCNH7
KCNH8
KCNJ12
KCNJ14
KCNJ2
KCNJ3
KCNJ5
KCNJ6
KCNJ8
KCNK1
KCNK10
KCNK13
KCNK17
KCNK6
KCNMB1
KCNMB3
KCNN2
KCNN3
KCNN4
KCNQ1
KCNQ3
KCNQ4
KCNQ5
KCNS3
KCNV1
KDELR3
KEAP1
KIF20A
KIF22
KIF23
KIF2C
KIF3C
KIF5A
KIFAP3
KIRREL2
KISS1R
KIT
KL
KLB
KLC2
KLF5
KLHL20
KLK2
KLKB1
KNG1
KNTC1
KPNA1
KPNA2
KPNB1
KYNU
L1CAM
LAMA1
LAMA2
LAMA3
LAMB1
LAMB2
LAMB3
LAMC1
LAMC2
LAMP2
LARS2
LAT
LBP
LCAT
LCK
LCP2
LDHD
LEFTY1
LEFTY2
LEP
LGALS3
LHB
LHCGR
LIMK2
LIMS1
LIPE
LMNA
LMOD1
LNPEP
LPAR1
LPAR2
LPAR6
LPIN3
LPL
LRP2
LRRC41
LSS
LTF
LUM
LYN
LZTS1
MAD2L1
MAD2L2
MAFK
MAG
MAGED1
MAGI2
MAML2
MAMLD1
MAN1B1
MAN1C1
MAOA
MAOB
MAP2K6
MAP3K14
MAPK10
MAPK11
MAPK13
MAPK14
MAPKAPK3
MARS
MASP1
MASP2
MAT2A
MAVS
MBOAT1
MC1R
MCCC1
MCF2
MCHR1
MCM2
MCM3
MCM4
MCM5
MCM6
MCM7
MCM8
ME1
MED13L
MED24
MED26
MEF2C
MEF2D
MERTK
MET
METTL3
MFNG
MGAT1
MGLL
MGST3
MIB1
MLH1
MLN
MMP1
MMP10
MMP2
MMP24
MMP25
MMP3
MMP9
MOCS1
MOCS3
MOGS
MOV10
MRC1
MRI1
MRVI1
MSMO1
MSN
MT2A
MTMR14
MTNR1A
MTOR
MTTP
MUC15
MUC4
MUTYH
MX1
MX2
MYB
MYBL2
MYBPC2
MYD88
MYF5
MYH10
MYH6
MYL3
MYL4
MYLK
MYO5B
MYO6
NADSYN1
NCALD
NCAM1
NCAN
NCF2
NCF4
NCOA1
NCSTN
NDC80
NDUFA4
NDUFS1
NEDD1
NEK2
NEO1
NEU1
NEU3
NEU4
NFE2
NFKBIA
NFKBIE
NFS1
NFX1
NFYA
NGEF
NGF
NGFR
NLRP3
NLRX1
NMBR
NMNAT2
NMUR1
NNMT
NNT
NOD1
NODAL
NOS2
NOTCH2
NPAS2
NPFF
NPFFR2
NPHS1
NPY
NPY1R
NPY5R
NQO1
NR0B1
NR1H3
NR1I3
NR2F2
NR3C1
NR3C2
NR4A2
NRBP1
NRF1
NRG1
NRG4
NRP1
NRP2
NSDHL
NSF
NT5E
NTN1
NTN4
NTRK1
NTRK2
NTS
NUP188
NUP205
NUP43
NUP93
OAS1
OAS3
OASL
OAT
OCLN
ODAM
ODC1
OGN
OMD
OPLAH
OPRD1
OPRK1
OPRL1
OR10A2
OR14A16
OR3A2
OR51B5
OR52A1
OR8D4
ORC1
OXER1
P2RX1
P2RX7
P2RY14
P2RY2
P2RY6
P4HB
PAG1
PAH
PAK6
PANK4
PAPPA
PAPSS1
PARD3
PARP1
PARVA
PCCB
PCK2
PCNA
PCNT
PCOLCE
PCOLCE2
PCSK1
PCSK2
PCSK5
PCYT2
PDE11A
PDE1A
PDE2A
PDE3A
PDE4B
PDE4C
PDE6A
PDE7B
PDE8A
PDGFB
PDGFC
PDGFD
PDGFRA
PDGFRB
PDIA3
PDIA5
PDK2
PDK4
PDPR
PDYN
PECAM1
PENK
PEX11A
PEX3
PF4
PF4V1
PFKFB1
PFKFB4
PFKM
PFKP
PGM1
PGM3
PGS1
PHGDH
PHKA1
PHKA2
PHKG1
PI4KB
PIAS1
PIGB
PIGH
PIGO
PIGS
PIGT
PIGV
PIK3C2A
PIK3C2G
PIK3CA
PIK3R5
PIP5K1B
PJA1
PJA2
PKLR
PKP1
PLA2G10
PLA2G2A
PLAT
PLAU
PLAUR
PLBD1
PLCB2
PLCB3
PLCB4
PLCG1
PLD1
PLD2
PLD3
PLD4
PLD6
PLIN1
PLIN2
PLK1
PLOD1
PLOD3
PLTP
PLXNA2
PLXNA3
PLXNB1
PLXNC1
PMAIP1
PMEPA1
PMM1
PNP
POGLUT1
POLA2
POLE2
POLR1A
POLR3C
PPARG
PPARGC1A
PPARGC1B
PPBP
PPP1R15A
PPP2R1A
PPP2R5B
PPY
PRCP
PRDM4
PREB
PRELP
PRKAB1
PRKACA
PRKAR2B
PRKCA
PRKCB
PRKCD
PRKCE
PRKCG
PRKCH
PRKCI
PRKCQ
PRKD1
PRKG2
PRLR
PRMT5
PRNP
PROC
PROK1
PROKR1
PRPF4
PRPF8
PRSS1
PRSS2
PSAP
PSEN2
PSMA8
PSMB8
PSMB9
PSMD2
PSPN
PSTPIP1
PTAFR
PTGDR
PTGER1
PTGER2
PTGER3
PTGER4
PTGIR
PTGIS
PTGS1
PTH2R
PTK2B
PTPN6
PTTG1
PVR
PYGL
PYGM
QARS
QRFP
QRFPR
RAB27A
RAC2
RACGAP1
RAD51
RAF1
RALB
RALGDS
RAMP1
RAMP2
RAMP3
RAP1B
RAP1GAP2
RAPGEF4
RASGRF2
RASGRP1
RASGRP3
RBM5
RBP2
RCC1
RFT1
RGS1
RGS2
RGS4
RGS6
RGS7
RHCG
RHOBTB2
RHOC
RHOD
RHOF
RHOJ
RIPK1
RIPK3
RIT2
RNASEL
RND1
RNF144B
RNF25
RNF41
ROBO1
RORB
RPA1
RPA4
RPS24
RPS3A
RPS6KA1
RPS7
RRM1
RRM2
RUNX2
RUVBL1
RXRG
S100B
S1PR1
S1PR3
S1PR5
SAT1
SATB1
SCG3
SCN1B
SCN3B
SCN4A
SCTR
SDC2
SDCBP
SDHA
SEC24C
SEC24D
SEC31A
SEC61A1
SELL
SEMA3A
SEMA3E
SEMA4A
SEMA6D
SEMA7A
SEMG1
SERPINA1
SERPINB2
SERPINC1
SERPINE1
SERPINF2
SERPING1
SF3B3
SGPP2
SGSH
SH3GL2
SHC3
SIAH2
SIN3A
SKI
SKP2
SLC11A1
SLC12A4
SLC13A3
SLC13A5
SLC15A1
SLC16A1
SLC16A7
SLC16A8
SLC17A8
SLC18A3
SLC19A3
SLC1A4
SLC1A6
SLC20A1
SLC22A1
SLC22A15
SLC22A18
SLC22A2
SLC22A3
SLC22A4
SLC23A1
SLC24A1
SLC24A2
SLC24A3
SLC25A1
SLC25A12
SLC25A20
SLC26A6
SLC27A2
SLC27A4
SLC28A1
SLC28A3
SLC29A1
SLC29A3
SLC2A1
SLC2A12
SLC2A13
SLC2A3
SLC2A4
SLC2A6
SLC2A9
SLC30A5
SLC30A8
SLC34A2
SLC35C1
SLC37A4
SLC38A2
SLC38A3
SLC38A4
SLC39A2
SLC39A4
SLC39A5
SLC39A6
SLC39A7
SLC39A8
SLC3A1
SLC3A2
SLC40A1
SLC41A1
SLC41A2
SLC43A1
SLC43A2
SLC44A2
SLC44A3
SLC44A4
SLC46A1
SLC47A1
SLC47A2
SLC4A4
SLC4A5
SLC4A8
SLC5A11
SLC5A3
SLC5A6
SLC5A7
SLC5A8
SLC6A11
SLC6A15
SLC6A6
SLC6A7
SLC6A9
SLC7A10
SLC7A11
SLC7A3
SLC7A7
SLC7A8
SLC7A9
SLC8A3
SLC9A2
SLC9A5
SLC9A7
SLC9A9
SLCO1A2
SLCO1C1
SLCO2A1
SLCO3A1
SLCO4A1
SLCO4C1
SLIT1
SLIT2
SMAD7
SMG1
SMG7
SMG8
SMOX
SMPD2
SMS
SMURF2
SNAP25
SNAPC4
SNCA
SNRNP200
SNRPD2
SNRPG
SNUPN
SORCS3
SORT1
SP100
SPARC
SPHK1
SPP1
SPSB1
SPSB4
SPTB
SPTBN4
SPTBN5
SPTLC2
SQSTM1
SRC
SRD5A2
SRD5A3
SRGN
SST
SSTR1
SSTR2
SSTR3
ST3GAL1
ST6GALNAC2
ST6GALNAC3
ST6GALNAC4
ST8SIA2
ST8SIA4
STAR
STARD13
STARD5
STARD6
STAT5A
STEAP3
STIP1
STS
STT3A
STX11
STX1B
STX3
SULT1A4
SULT1E1
SULT2A1
SULT2B1
SUMF1
SUN2
SUOX
SYCP1
SYCP2
SYDE1
SYK
SYN1
SYN2
SYNE1
SYNJ1
SYT2
SYT5
TAB3
TAC1
TAC3
TACR1
TACR3
TAF1C
TAF4
TAF4B
TAOK1
TAP1
TAP2
TARS2
TATDN2
TBCD
TBL1X
TBL1XR1
TBX5
TBXA2R
TBXAS1
TCAP
TCF4
TCIRG1
TDGF1
TDO2
TEC
TECR
TEK
TERT
TESK1
TEX12
TEX15
TF
TFPI
TGFB2
TGFB3
TGFBI
TGFBR2
TGIF1
TH
THBD
THBS1
THBS2
THBS3
THBS4
TIAM1
TICAM2
TIMP1
TINF2
TIRAP
TK1
TLE3
TLL1
TLR2
TLR3
TLR4
TLR5
TLR9
TM7SF2
TMLHE
TMOD1
TNC
TNF
TNFRSF10B
TNFRSF14
TNFRSF21
TNFSF10
TNNI1
TNNI2
TNNI3
TNNT2
TOP3A
TP53BP1
TPM1
TPP1
TRAF6
TREM2
TRIB3
TRIM32
TRIM9
TRIO
TRPC5
TRPC6
TSHR
TST
TTR
TUBA1A
TUBA1B
TUBA1C
TUBA4A
TUBB
TUBB1
TUBB2A
TUBB2B
TUBB3
TUBB4A
TUBB4B
TUBB6
TUBG1
TUBG2
TXNDC5
TXNIP
TYROBP
UBA1
UBA7
UBE2C
UBE2E3
UBE2S
UBE2T
UBOX5
UCK1
UCP1
UCP2
UGP2
UGT2B11
ULBP1
ULBP2
ULBP3
UNC13B
UNC5C
UNC5D
UPP1
UQCRH
UROC1
USP11
USP18
USP9X
UTS2
VAMP1
VAV1
VAV3
VCAM1
VCAN
VCL
VDR
VEGFC
VIM
VIPR1
VTN
VWF
WARS
WDR1
WFS1
WIPI1
WNT10B
WNT11
WNT16
WNT2
WNT2B
WNT4
WNT6
WNT9B
WRAP53
WWTR1
XBP1
XCL1
ZAP70
ZBTB16
ZFP2
ZFP28
ZFP36L1
ZIK1
ZKSCAN3
ZKSCAN4
ZNF101
ZNF12
ZNF136
ZNF14
ZNF143
ZNF154
ZNF155
ZNF157
ZNF169
ZNF17
ZNF189
ZNF19
ZNF2
ZNF205
ZNF213
ZNF215
ZNF221
ZNF222
ZNF225
ZNF227
ZNF23
ZNF230
ZNF234
ZNF235
ZNF250
ZNF256
ZNF263
ZNF266
ZNF274
ZNF282
ZNF285
ZNF287
ZNF3
ZNF30
ZNF304
ZNF311
ZNF324
ZNF333
ZNF343
ZNF347
ZNF415
ZNF416
ZNF417
ZNF418
ZNF420
ZNF425
ZNF426
ZNF436
ZNF439
ZNF440
ZNF441
ZNF442
ZNF443
ZNF446
ZNF45
ZNF460
ZNF468
ZNF473
ZNF483
ZNF485
ZNF490
ZNF517
ZNF540
ZNF543
ZNF547
ZNF555
ZNF559
ZNF561
ZNF563
ZNF565
ZNF571
ZNF583
ZNF584
ZNF596
ZNF597
ZNF600
ZNF605
ZNF611
ZNF613
ZNF615
ZNF619
ZNF627
ZNF641
ZNF649
ZNF658
ZNF773
ZWINT
ABCA10
ACMSD
ACSL5
AGXT2
ALB
APOC3
BBOX1
BLNK
BMX
C1QA
C1QB
C1QC
C3AR1
C6
C8A
C8B
C9
CACNG3
CCL22
CCL3L3
CCR3
CCR4
CD180
CD40LG
CD80
CETP
CGB5
CGB8
CHRM5
CHRNB3
CLDN22
CTGF
CX3CR1
CYBB
CYP2W1
CYP4B1
CYP4F2
DBH
DEFB104A
ENPP7
F2RL3
FCGR1A
FCGR2B
FMO3
FPR1
GABRA6
GATA1
GBA3
GBP5
GLRA2
GLYAT
GP9
GPR65
GPX1
HAL
HBB
HBD
HBE1
HCAR3
HK3
HMGCS2
HRG
HTR5A
IL1RN
IL2RG
IL3
ITGAL
KCNJ16
KCNV2
LILRA1
LILRB2
LIPC
LY86
LYVE1
MBOAT4
MC3R
MMP13
MMRN1
MPL
MUC6
MYBPC1
NLRC4
NMUR2
NPPA
NPSR1
NR0B2
NTSR2
OAS2
OLR1
OR2A42
OR2L13
OR2W3
OR3A1
OR51E1
OR51E2
OR51L1
OR6V1
OR8K1
PIK3CG
PIK3R6
PLA2G16
PLA2G4D
PLEK
PLG
PLXNB3
PNLIPRP2
PRDM9
PRL
PROZ
PTPRC
RGS18
RGS8
RHAG
RPS19P3
RPSAP9
SELP
SLC10A1
SLC13A2
SLC17A1
SLC18A1
SLC1A7
SLC22A6
SLC22A7
SLC22A8
SLC2A7
SLC4A1
SLC4A9
SLC6A5
SPTA1
SSTR4
STAB2
TAGAP
TAS1R2
TSHB
UGT2A1
ZNF658B
