B3GALT6
GLRA3
VEGFC
CASP3
SLC25A4
SLC6A3
LPCAT1
NDUFS6
MED10
SEMA5A
CCT5
MYO10
CDH6
PRLR
IL7R
SLC1A3
RICTOR
DAB2
PRKAA1
RPL37
FBXO4
GHR
HMGCS1
NNT
FGF10
ISL1
ITGA1
ITGA2
CCNO
IL6ST
MAP3K1
PDE4D
PIK3R1
CCNB1
TAF9
HMGCR
F2RL1
PDE8B
TBCA
DHFR
RPS23
VCAN
COX7C
MEF2C
NR2F1
GLRX
ERAP1
ST8SIA4
FER
PJA2
APC
SRP19
TICAM2
SEMA6A
HSD17B4
SNX2
LMNB1
SLC12A2
SLC22A5
IRF1
UQCRQ
UBE2B
SAR1B
TGFBI
FAM13B
KIF20A
CDC23
EGR1
HSPA9
NRG2
HBEGF
CD14
NDUFA2
DPYSL3
ABLIM3
PDE6A
PDGFRB
ARSI
RPS14
GM2A
SPARC
GALNT10
MED7
LSM11
ADRA1B
PTTG1
ATP10B
GABRB2
HMMR
SLIT3
DOCK2
KCNMB1
ATP6V0E1
DRD1
CLTB
COL23A1
ZNF354A
ADAMTS2
SQSTM1
MGAT1
TUBB2A
TUBB2B
DSP
EDN1
RANBP9
GMPR
GMNN
HIST1H1A
HIST1H3B
HIST1H3C
HIST1H1C
HIST1H4C
HIST1H2AC
HIST1H1E
HIST1H2BG
HIST1H1D
HIST1H2BH
HIST1H2BJ
HIST1H2BN
HIST1H1B
HIST1H4L
ZKSCAN4
ZNF311
ATP6V1G2
HSPA1B
NEU1
AGER
RXRB
SLC39A7
RPS18
PFDN6
KIFC1
RPS10
PPARD
TEAD3
MAPK13
SRSF3
CDKN1A
NFYA
FRS3
CUL7
POLR1C
POLH
VEGFA
SLC29A1
MCM3
GSTA1
GSTA4
EEF1A1
COL12A1
MYO6
PGM3
SLC35A1
CNR1
UBE2J1
MANEA
CD24
FOXO3
CDK19
AMD1
SLC16A10
REV3L
MARCKS
KPNA5
MAN1A1
GJA1
TPD52L1
HEY2
ARHGAP18
STX7
RPS12
PDE7B
TNFAIP3
SF3B5
STX11
TAB2
ULBP1
ESR1
SYNE1
FBXO5
SNX9
EZR
SLC22A1
AGPAT4
PDE10A
DLL1
PDGFA
MAFK
ACTB
HDAC9
ITGB8
IL6
TOMM7
NPY
CYCS
HIBADH
TAX1BP1
CHN2
GGCT
LSM5
FKBP9
ELMO1
INHBA
CAMK2B
ADCY1
IGFBP1
IGFBP3
UPP1
SEC61G
EGFR
SUMF2
PHKG1
VPS37D
STX1A
CLDN3
CLDN4
RFC2
HSPB1
HGF
SEMA3E
DBF4
FZD1
AKAP9
CYP51A1
CDK6
GNG11
COL1A2
PDK4
DYNC1I1
TAC1
ZKSCAN5
ZNF655
ZKSCAN1
MCM7
ACHE
SERPINE1
AP1S1
CLDN15
CUX1
PRKAR2B
LAMB1
NRCAM
DNAJB9
DOCK4
CAV1
MET
AASS
WASL
FLNC
IRF5
SMO
UBE2H
AKR1B1
CALD1
CHRM2
AKR1D1
TRIM24
MKRN1
NDUFB2
BRAF
MGAM
ZNF282
KCNH2
GALNT11
VIPR2
ZNF596
ANGPT2
GATA4
FDFT1
CTSB
DLC1
TUSC3
SLC7A2
PCM1
CSGALNACT1
LPL
LZTS1
FGF17
SORBS3
RHOBTB2
TNFRSF10B
NEFL
GNRH1
DPYSL2
PTK2B
CLU
PPP2CB
EIF4EBP1
STAR
FGFR1
IDO1
PLAT
FNTA
CEBPD
PRKDC
MCM4
OPRK1
RGS20
TCEA1
LYN
RPS20
PENK
CRH
ADHFE1
TERF1
UBE2W
HEY1
TPD52
PAG1
CHMP4C
WWP1
DECR1
SLC26A7
UQCRB
SDC2
RPL30
NCALD
FZD6
ZFPM2
KCNV1
SLC30A8
EXT1
HAS2
SQLE
MYC
KCNQ3
ST3GAL1
COL22A1
PTK2
PLEC
SLC39A4
FOXH1
RPL8
ZNF517
AK3
NFIB
SNAPC3
PSIP1
PLIN2
KLHL9
CDKN2A
CDKN2B
TEK
B4GALT1
AQP3
GALT
CCL27
CCL21
PIGO
TPM2
TOMM5
EXOSC3
TJP2
ANXA1
GCNT1
GNA14
GNAQ
PSAT1
TLE4
TLE1
NTRK2
DAPK1
S1PR3
AUH
OGN
OMD
PTCH1
SLC35D2
HABP4
TMOD1
TGFBR1
ALG2
NR4A3
ABCA1
KLF4
TXN
LPAR1
COL27A1
TNC
PAPPA
FBXW2
C5
GSN
NR6A1
RPL35
HSPA5
RPL12
AK1
SPTAN1
ASS1
ABL1
MED27
GTF3C4
TSC1
RALGDS
RPL7A
COL5A1
INPP5E
AGPAT2
ABCA2
SSNA1
TUBB4B
IDI1
NET1
PFKFB3
GATA3
UPF2
MCM10
PHYH
NMT2
ITGA8
VIM
ST8SIA6
KIF5B
ITGB1
NRP1
PARD3
FZD8
ZNF248
ZNF25
CSGALNACT2
CXCL12
TIMM23B
ZWINT
ANK3
CDK1
EGR2
NRBF2
JMJD1C
HK1
COL13A1
NODAL
UNC5B
CHST3
VCL
RPS24
PTEN
ACTA2
CYP26A1
CYP2C8
HPSE2
ABCC2
FGF8
ELOVL3
GBF1
NFKB2
NT5C2
COL17A1
GSTO1
GSTO2
SMC3
ADRA2A
GPAM
ADRB1
GFRA1
EIF3A
GRK5
FGFR2
BUB3
CHST15
ADAM12
DOCK1
MGMT
IFITM2
IFITM1
IFITM3
SIGIRR
IRF7
SCT
RPLP2
CD151
POLR2L
AP2A2
TOLLIP
IGF2
TH
SLC22A18
RHOG
OR52A5
HBG2
SMPD1
TPP1
EIF3F
ZNF143
WEE1
ADM
AMPD3
MRVI1
PARVA
TEAD1
COPB1
CALCA
TPH1
LDHA
TSG101
PAX6
CD44
CHST1
CRY2
CKAP5
DDB2
APLNR
SLC43A1
TIMM10
UBE2L6
SERPING1
MED19
CTNND1
DTX4
STX3
DDB1
FEN1
FADS2
FTH1
EEF1G
B3GAT3
GANAB
STX5
SLC3A2
RASGRP2
MEN1
EHD1
PPP2R5B
TM7SF2
FAU
RELA
PACS1
PELI3
RHOD
POLD4
GSTP1
TCIRG1
GAL
CCND1
FGF19
INPPL1
P2RY2
P2RY6
ARHGEF17
RAB6A
UCP2
ARRB1
RPS3
WNT11
NDUFC2
GAB2
PRCP
PCF11
PICALM
CTSC
MED17
MAML2
TRPC6
YAP1
BIRC3
BIRC2
MMP10
MMP1
CASP4
GUCY1A2
RDX
ARHGAP20
IL18
TEX12
NCAM1
ZBTB16
CADM1
APOA1
DSCAML1
FXYD2
CD3D
TREH
H2AFX
ABCG4
NLRX1
CBL
ARHGEF12
GRIK4
HSPA8
OR8D4
CDON
TEAD4
CCND2
GALNT8
KCNA1
CD9
TNFRSF1A
VAMP1
GAPDH
SPSB2
ENO2
SLC2A3
NECAP1
A2M
KLRD1
HEBP1
PLBD1
ARHGDIB
MGST1
PDE3A
BCAT1
ITPR2
MED21
PTHLH
ALG10B
MUC19
GXYLT1
SLC38A1
SLC38A2
HDAC7
COL2A1
ASB8
ZNF641
CACNB3
RND1
TUBA1B
TUBA1A
KCNH3
RACGAP1
CERS5
GALNT6
SLC4A8
ACVR1B
NR4A1
IGFBP6
PFDN5
SP1
NPFF
SMUG1
NFE2
ITGA5
BLOC1S1
CD63
RPS26
ERBB3
RPL41
MYL6
STAT2
TAC3
STAT6
DDIT3
ARHGEF25
CDK4
CTDSP2
AVPR1A
SRGAP1
MDM2
LYZ
KCNMB4
GLIPR1
SYT1
MYF6
NTS
CEP290
KITLG
DUSP6
LUM
DCN
EEA1
UBE2N
SOCS2
NTN4
SNRPF
APAF1
SLC17A8
SYCP3
HSP90B1
TXNRD1
SLC41A2
PRDM4
ALKBH2
ALDH2
RPL6
OAS3
MED13L
RPLP0
COX6A1
DYNLL1
MLEC
ORAI1
RHOF
CLIP1
VPS37B
FZD10
GALNT9
ZNF26
GJB2
FGF9
ATP12A
CENPJ
RNF6
RPL21
BRCA2
STARD13
HTR2A
SUCLA2
ITM2B
LPAR6
ATP7B
KLF5
FBXL3
EDNRB
SPRY2
GPC5
GPC6
ABCC4
CLDN10
UGGT2
HS6ST3
SLC15A1
DOCK9
COL4A1
COL4A2
ATP11A
PNP
SUPT16H
MMP14
ACIN1
SLC7A8
PCK2
IRF9
CHMP4A
RIPK3
PRKD1
NFKBIA
SSTR1
SEC23A
MIS18BP1
RPS29
SOS2
PYGL
GNG2
LGALS3
PRKCH
SNAPC1
KCNH5
SGPP1
SYNE2
AKAP5
SPTB
FUT8
MPP5
ATP6V1D
ARG2
ZFP36L1
ACTN1
SRSF5
SLC8A3
RGS6
PSEN1
NUMB
MLH3
FOS
DIO2
SEL1L
GALC
KCNK13
RPS6KA5
NDUFB1
IFI27
BDKRB1
CYP46A1
DLK1
DIO3
PPP2R5C
DYNC1H1
RCOR1
AMN
EIF5
CKB
KLC1
GABRB3
CHRNA7
ARHGAP11A
RASGRP1
THBS1
BMF
BUB1B
PAK6
RHOV
DLL4
B2M
SEMA6D
SLC24A5
DUT
FBN1
FGF7
SCG3
ONECUT1
ADAM10
GTF2A2
RORA
TPM1
SNAPC5
SMAD3
PIAS1
ITGA11
KIF23
RPLP1
TLE3
ARIH1
CYP11A1
SEMA7A
EDC3
CSK
UBE2Q2
LINGO1
CTSH
RASGRF1
PDE8A
ISG20
ACAN
MFGE8
IDH2
IQGAP1
FURIN
FES
NR2F2
CERS3
ASB7
CHSY1
SNRPA1
POLR3K
ARHGDIG
RPL3L
NDUFB10
RPS2
NPW
NTHL1
CLDN9
CLDN6
CREBBP
PAM16
SOCS1
ABCC6
RPS15A
SMG1
NDUFAB1
DCTN5
PLK1
TNRC6A
SLC5A11
SULT1A2
SULT1A1
ATP2A1
LAT
SPN
CDIPT
CD2BP2
PYCARD
PHKB
LONP2
ADCY7
RBL2
MMP2
LPCAT2
SLC6A2
MT2A
HERPUD1
CX3CL1
KIFC3
MMP15
CDH8
CDH11
CDH5
TK2
TRADD
PSMB10
SLC12A4
ZFP90
CDH3
CDH1
NQO1
ST3GAL2
SF3B3
ZNF19
AP1G1
LDHD
ZFP1
BCAR1
TERF2IP
CDH13
GINS2
IRF8
SLC7A5
CYBA
MVD
RPL13
MC1R
TUBB3
MED11
CHRNE
C1QBP
NLRP1
SLC13A5
ACADVL
CLDN7
ATP1B2
TP53
VAMP2
AURKB
RPL26
NDEL1
STX8
HS3ST3A1
ZNF286A
PIGL
ZNF287
ZNF624
PLD6
MED9
PEMT
SREBF1
KCNJ12
WSB1
NOS2
ALDOC
TAOK1
CPD
RNF135
CCL2
AP2B1
CCL4
CCL3L1
HNF1B
PPP1R1B
ERBB2
GRB7
CDC6
RARA
IGFBP4
CCR7
JUP
ACLY
HSD17B1
TUBG2
RAMP2
IFI35
DUSP3
PPY
FZD2
GJC1
MAPT
WNT3
MYL4
NPEPPS
GIP
NGFR
COL1A1
ABCC3
NME1
AKAP1
DYNLL2
RAD51C
MRC2
CACNG4
KPNA2
WIPI1
KCNJ2
RPL38
GRIN2C
ITGB4
GALK1
ACOX1
SPHK1
SRSF2
TNRC6C
BIRC5
SOCS3
TIMP2
EIF4A3
HGS
GCGR
ARHGDIA
MAFG
PYCR1
RAC3
SLC16A3
CSNK1D
TYMS
MYL12B
TGIF1
ARHGAP28
LAMA1
RALBP1
GNAL
TUBB6
RNMT
SNRPD1
MIB1
GATA6
LAMA3
CDH2
DSG2
B4GALT6
GALNT1
PIK3C3
SMAD7
MYO5B
CXXC1
SMAD4
DCC
MBD2
TCF4
ATP8B1
SEC11C
PMAIP1
SERPINB2
CDH7
CNDP2
SHC2
BSG
CFD
MED16
ABCA7
RPS15
UQCR11
TIMM13
ZNF555
GNA15
HMG20B
DAPK3
MAP2K2
TICAM1
RPL36
PSPN
ZNF557
ARHGEF18
MAP2K7
TIMM44
CERS4
RPS28
ANGPTL4
HNRNPM
ZNF558
OR7D2
ZNF561
P2RY11
ICAM1
AP1M2
SLC44A2
SPC24
DOCK6
PRKCSH
ZNF627
ZNF441
ZNF440
ZNF433
ZNF442
ZNF564
DHPS
JUNB
STX10
PTGER1
NDUFB7
ZNF333
SLC1A6
TPM4
MED26
NR2F6
ELL
UBA52
NCAN
NDUFA13
ZNF506
ZNF430
ZNF431
ZNF493
ZNF43
ZNF208
ZNF599
MAG
ATP4A
PSENEN
LIN37
HCST
ZNF529
ZNF382
ZNF585A
ZNF570
ZNF540
ZNF607
KCNK6
EIF3K
ACTN4
ZFP36
PLEKHG2
PLD3
CYP2S1
TGFB1
BCKDHA
B3GNT8
RPS19
PLAUR
KCNN4
ZNF45
ZNF221
ZNF230
ZNF222
ZNF224
ZNF225
ZNF226
PVR
TOMM40
APOE
BLOC1S3
CKM
CALM3
SLC1A5
BBC3
EHD2
PLA2G4C
RPL18
PPP1R15A
BAX
FTL
PTH2
RPL13A
RPS11
RRAS
ZNF473
KCNC3
KLK2
ETFB
HAS1
ZNF577
ZNF649
ZNF350
ZNF615
ZNF614
ZNF432
ZNF610
ZNF528
ZNF611
ZNF600
ZNF28
ZNF320
ZNF160
ZNF331
CACNG8
NDUFA3
TNNT1
TNNI3
SYT5
RPL28
UBE2S
ZNF471
ZFP28
ZNF264
ZNF548
ZNF17
ZNF419
ZIK1
ZNF211
ZNF154
ZNF552
ZNF587
ZNF417
ZNF606
ZNF446
CHMP2A
TRIB3
NOP56
OXT
CDC25B
MAVS
PRNP
PCNA
PLCB1
SNAP25
JAG1
INSM1
FOXA2
THBD
CST3
ACSS1
NINL
POFUT1
CHMP4B
NCOA6
EDEM2
MYL9
TGIF2
RPN2
SRC
ARHGAP40
SLC32A1
PLCG1
LPIN3
MYBL2
KCNS1
SDC4
UBE2C
PLTP
SLC2A10
PREX1
KCNB1
PTGIS
CEBPB
PARD6B
AURKA
RAE1
STX16
SYCP2
LAMA5
RPS21
GATA5
COL9A3
ARFGAP1
DNAJC5
OPRL1
CXADR
APP
TIAM1
IFNGR2
SLC5A3
PIGP
DYRK1A
KCNJ6
AGPAT3
PFKL
COL6A1
COL6A2
FTCD
S100B
BID
PRODH
GP1BB
COMT
RANBP1
MED15
BCR
XBP1
HMOX1
MCM5
MYH9
TST
SSTR3
RAC2
H1F0
POLR2F
SLC16A8
PLA2G6
MAFF
CSNK1E
KCNJ4
KDELR3
SUN2
DNAL4
APOBEC3G
PDGFB
MGAT3
ADSL
MCHR1
RBX1
PHF5A
PMM1
SREBF2
NDUFA6
SMC1B
PPARA
HDAC10
TYMP
CPT1B
CSF2RA
STS
ARHGAP6
TMSB4X
OFD1
AP1S2
GRPR
SH3KBP1
RPS6KA3
MBTPS2
SMS
SAT1
NR0B1
TAB3
DMD
USP9X
SLC9A7
USP11
TIMP1
WAS
HDAC6
SLC35A2
MAGED1
TSPYL2
SMC1A
HUWE1
ASB12
MSN
HEPH
OPHN1
STARD8
SLC7A3
FOXO4
PHKA1
COX7B
ATP7A
PGK1
RPA4
TIMM8A
BTK
RPL36A
PSMD10
COL4A6
COL4A5
TRPC5
SLC25A5
RPL39
NDUFA1
LAMP2
C1GALT1C1
OCRL
HS6ST2
GPC4
GPC3
ATP11C
IDS
MAMLD1
GABRA3
CETN2
BGN
L1CAM
ARHGAP4
RPL10
GDI1
PLXNA3
TMLHE
VAMP7
RPS4Y1
GBP2
GBP4
SELL
KCNK3
IL1R2
SCTR
KYNU
HRH1
KCNMB2
EREG
CFB
HTR1B
AQP1
SHH
GPT
AQP7
NR5A1
OR51B5
DRD2
SCN2B
KIRREL3
IAPP
PLA2G1B
OASL
HPD
GPR18
SLC39A2
MYH6
RHOJ
GJD2
ATP8B4
CYP19A1
SMPD3
CTRB1
OR3A2
VTN
WNT9B
CSH1
PECAM1
DSG3
GRP
ZNF556
TUBB1
GGT5
UPB1
CYSLTR1
SLC30A2
CTSS
NR1I3
F5
SERPINC1
HIST3H3
ZAP70
CCR1
P2RY14
KNG1
FGF5
ADH4
CDH10
HIST1H2BA
TREM2
GSTA2
GSTA3
COL19A1
HTR1E
CGA
GABRR2
WNT2
OPN1SW
LY96
ATP6V0D2
IDI2
CUBN
SRGN
ANKRD1
OR52I1
KCNA4
F2
FGF3
CASP1
CD3G
CXCR5
KLRK1
PIK3C2G
MUCL1
INHBC
MYF5
OAS1
GJB6
CDX2
TSHR
BDKRB2
PLD4
HDC
GCNT3
ACSM1
CTRB2
ITGB3
ADCYAP1
CD226
OR7C1
SLC7A9
TYROBP
CYP24A1
SPO11
DSCAM
GRAP2
TAS1R1
TRIM63
HCRTR1
PROK1
RXRG
FMO2
RGS1
AGT
TPO
GCKR
FSHR
ATP6V1B1
SLC5A7
ITGB6
MYL1
WNT10A
IL5RA
WNT7A
BTLA
CD200R1
UGT2B7
UGT2B11
ODAM
FGB
FGG
F2RL2
MUC21
CYP21A2
MLN
TREM1
VIP
CLDN20
ASB15
PRSS2
DEFB1
DEFA6
IFNA2
ALDOB
TLR4
SLC18A3
CYP26C1
OR10A2
MUC15
NNMT
KCNJ5
GYS2
HCAR2
CYSLTR2
GPR132
SLC28A1
XAF1
SLC47A2
OMG
CCL7
ST6GALNAC2
TTR
SULT2A1
HNF4A
PCK1
GRIK1
KCNJ15
GGT1
ARSF
ATP2B3
HLA-A
HLA-C
HLA-B
HLA-DRB1
ERCC6
ERCC1
HLA-DOB
